Image,Type,Code,Value,Path
S026_001,FACS,27,0,images/S026_001.png
S026_002,FACS,1,0,images/S026_002.png
S026_002,FACS,4,1,images/S026_002.png
S026_002,FACS,15,4,images/S026_002.png
S026_002,FACS,17,2,images/S026_002.png
S026_003,FACS,4,0,images/S026_003.png
S026_003,FACS,7,0,images/S026_003.png
S026_003,FACS,14,0,images/S026_003.png
S026_003,FACS,17,4,images/S026_003.png
S026_003,FACS,24,0,images/S026_003.png
S026_004,FACS,6,0,images/S026_004.png
S026_004,FACS,7,0,images/S026_004.png
S026_004,FACS,9,0,images/S026_004.png
S026_004,FACS,15,0,images/S026_004.png
S026_004,FACS,17,0,images/S026_004.png
S026_005,FACS,1,0,images/S026_005.png
S026_005,FACS,4,0,images/S026_005.png
S026_005,FACS,6,0,images/S026_005.png
S026_005,FACS,7,0,images/S026_005.png
S026_005,FACS,10,2,images/S026_005.png
S026_005,FACS,20,4,images/S026_005.png
S026_005,FACS,25,0,images/S026_005.png
S026_006,FACS,6,0,images/S026_006.png
S026_006,FACS,12,4,images/S026_006.png
S026_006,FACS,16,0,images/S026_006.png
S026_006,FACS,25,0,images/S026_006.png
S028_001,FACS,4,4,images/S028_001.png
S028_001,FACS,7,3,images/S028_001.png
S028_001,FACS,14,2,images/S028_001.png
S028_001,FACS,24,3,images/S028_001.png
S028_001,FACS,17,5,images/S028_001.png
S029_001,FACS,4,4,images/S029_001.png
S029_001,FACS,6,2,images/S029_001.png
S029_001,FACS,7,3,images/S029_001.png
S029_001,FACS,17,4,images/S029_001.png
S029_001,FACS,23,3,images/S029_001.png
S032_001,FACS,1,0,images/S032_001.png
S032_001,FACS,2,0,images/S032_001.png
S032_001,FACS,5,0,images/S032_001.png
S032_001,FACS,25,0,images/S032_001.png
S032_001,FACS,27,0,images/S032_001.png
S032_002,FACS,1,0,images/S032_002.png
S032_002,FACS,4,0,images/S032_002.png
S032_002,FACS,10,0,images/S032_002.png
S032_002,FACS,15,4,images/S032_002.png
S032_002,FACS,17,4,images/S032_002.png
S032_003,FACS,4,0,images/S032_003.png
S032_003,FACS,17,4,images/S032_003.png
S032_003,FACS,23,3,images/S032_003.png
S032_003,FACS,24,4,images/S032_003.png
S032_004,FACS,4,4,images/S032_004.png
S032_004,FACS,7,3,images/S032_004.png
S032_004,FACS,20,2,images/S032_004.png
S032_004,FACS,25,0,images/S032_004.png
S032_005,FACS,4,0,images/S032_005.png
S032_005,FACS,6,0,images/S032_005.png
S032_005,FACS,7,0,images/S032_005.png
S032_005,FACS,9,0,images/S032_005.png
S032_005,FACS,25,0,images/S032_005.png
S032_006,FACS,6,0,images/S032_006.png
S032_006,FACS,12,0,images/S032_006.png
S032_006,FACS,25,0,images/S032_006.png
S034_001,FACS,1,0,images/S034_001.png
S034_001,FACS,2,0,images/S034_001.png
S034_001,FACS,5,1,images/S034_001.png
S034_001,FACS,12,0,images/S034_001.png
S034_001,FACS,25,0,images/S034_001.png
S034_001,FACS,27,0,images/S034_001.png
S034_002,FACS,4,0,images/S034_002.png
S034_002,FACS,7,0,images/S034_002.png
S034_002,FACS,11,0,images/S034_002.png
S034_002,FACS,20,0,images/S034_002.png
S034_002,FACS,25,0,images/S034_002.png
S034_002,FACS,39,0,images/S034_002.png
S034_003,FACS,4,0,images/S034_003.png
S034_003,FACS,7,0,images/S034_003.png
S034_003,FACS,9,0,images/S034_003.png
S034_003,FACS,17,0,images/S034_003.png
S034_003,FACS,23,0,images/S034_003.png
S034_003,FACS,24,0,images/S034_003.png
S034_003,FACS,38,0,images/S034_003.png
S034_004,FACS,4,0,images/S034_004.png
S034_004,FACS,7,0,images/S034_004.png
S034_004,FACS,9,0,images/S034_004.png
S034_004,FACS,17,0,images/S034_004.png
S034_005,FACS,6,0,images/S034_005.png
S034_005,FACS,12,0,images/S034_005.png
S034_005,FACS,25,0,images/S034_005.png
S035_001,FACS,1,0,images/S035_001.png
S035_001,FACS,2,0,images/S035_001.png
S035_001,FACS,5,0,images/S035_001.png
S035_001,FACS,25,0,images/S035_001.png
S035_001,FACS,27,0,images/S035_001.png
S035_002,FACS,4,0,images/S035_002.png
S035_002,FACS,17,0,images/S035_002.png
S035_003,FACS,4,2,images/S035_003.png
S035_003,FACS,6,0,images/S035_003.png
S035_003,FACS,7,0,images/S035_003.png
S035_003,FACS,9,0,images/S035_003.png
S035_003,FACS,12,2,images/S035_003.png
S035_003,FACS,20,1,images/S035_003.png
S035_003,FACS,25,0,images/S035_003.png
S035_004,FACS,4,0,images/S035_004.png
S035_004,FACS,17,0,images/S035_004.png
S035_005,FACS,6,0,images/S035_005.png
S035_005,FACS,7,0,images/S035_005.png
S035_005,FACS,9,0,images/S035_005.png
S035_005,FACS,25,0,images/S035_005.png
S035_006,FACS,6,0,images/S035_006.png
S035_006,FACS,12,0,images/S035_006.png
S035_006,FACS,25,0,images/S035_006.png
S037_001,FACS,1,0,images/S037_001.png
S037_001,FACS,2,0,images/S037_001.png
S037_001,FACS,25,0,images/S037_001.png
S037_001,FACS,27,0,images/S037_001.png
S037_002,FACS,4,0,images/S037_002.png
S037_002,FACS,17,0,images/S037_002.png
S037_003,FACS,4,0,images/S037_003.png
S037_003,FACS,7,0,images/S037_003.png
S037_003,FACS,17,5,images/S037_003.png
S037_003,FACS,23,4,images/S037_003.png
S037_003,FACS,24,4,images/S037_003.png
S037_003,FACS,38,0,images/S037_003.png
S037_004,FACS,4,0,images/S037_004.png
S037_004,FACS,7,0,images/S037_004.png
S037_004,FACS,9,0,images/S037_004.png
S037_004,FACS,17,0,images/S037_004.png
S037_004,FACS,23,0,images/S037_004.png
S037_005,FACS,4,0,images/S037_005.png
S037_005,FACS,7,0,images/S037_005.png
S037_005,FACS,20,0,images/S037_005.png
S037_005,FACS,21,0,images/S037_005.png
S037_005,FACS,25,0,images/S037_005.png
S037_006,FACS,6,0,images/S037_006.png
S037_006,FACS,12,0,images/S037_006.png
S037_006,FACS,25,0,images/S037_006.png
S042_001,FACS,1,0,images/S042_001.png
S042_001,FACS,2,0,images/S042_001.png
S042_001,FACS,5,0,images/S042_001.png
S042_001,FACS,25,0,images/S042_001.png
S042_001,FACS,27,0,images/S042_001.png
S042_002,FACS,1,0,images/S042_002.png
S042_002,FACS,4,0,images/S042_002.png
S042_002,FACS,17,0,images/S042_002.png
S042_002,FACS,39,0,images/S042_002.png
S042_003,FACS,4,0,images/S042_003.png
S042_003,FACS,20,0,images/S042_003.png
S042_003,FACS,25,0,images/S042_003.png
S042_004,FACS,4,0,images/S042_004.png
S042_004,FACS,7,0,images/S042_004.png
S042_004,FACS,14,0,images/S042_004.png
S042_004,FACS,17,0,images/S042_004.png
S042_004,FACS,23,0,images/S042_004.png
S042_004,FACS,24,0,images/S042_004.png
S042_005,FACS,4,0,images/S042_005.png
S042_005,FACS,6,0,images/S042_005.png
S042_005,FACS,7,0,images/S042_005.png
S042_005,FACS,9,5,images/S042_005.png
S042_005,FACS,10,3,images/S042_005.png
S042_005,FACS,17,4,images/S042_005.png
S042_006,FACS,6,0,images/S042_006.png
S042_006,FACS,12,0,images/S042_006.png
S042_006,FACS,25,0,images/S042_006.png
S044_001,FACS,1,0,images/S044_001.png
S044_001,FACS,2,0,images/S044_001.png
S044_001,FACS,5,2,images/S044_001.png
S044_001,FACS,25,0,images/S044_001.png
S044_001,FACS,27,0,images/S044_001.png
S044_002,FACS,1,0,images/S044_002.png
S044_002,FACS,4,0,images/S044_002.png
S044_002,FACS,6,0,images/S044_002.png
S044_002,FACS,7,0,images/S044_002.png
S044_002,FACS,11,0,images/S044_002.png
S044_002,FACS,12,0,images/S044_002.png
S044_002,FACS,20,0,images/S044_002.png
S044_002,FACS,25,0,images/S044_002.png
S044_003,FACS,6,0,images/S044_003.png
S044_003,FACS,12,0,images/S044_003.png
S044_003,FACS,25,0,images/S044_003.png
S044_004,FACS,4,0,images/S044_004.png
S044_004,FACS,17,0,images/S044_004.png
S044_005,FACS,4,0,images/S044_005.png
S044_005,FACS,5,0,images/S044_005.png
S044_005,FACS,7,0,images/S044_005.png
S044_005,FACS,17,0,images/S044_005.png
S044_005,FACS,38,0,images/S044_005.png
S044_006,FACS,4,0,images/S044_006.png
S044_006,FACS,6,0,images/S044_006.png
S044_006,FACS,7,0,images/S044_006.png
S044_006,FACS,9,5,images/S044_006.png
S044_006,FACS,38,0,images/S044_006.png
S045_001,FACS,1,0,images/S045_001.png
S045_001,FACS,2,0,images/S045_001.png
S045_001,FACS,11,0,images/S045_001.png
S045_001,FACS,12,0,images/S045_001.png
S045_002,FACS,1,0,images/S045_002.png
S045_002,FACS,2,0,images/S045_002.png
S045_002,FACS,17,0,images/S045_002.png
S045_002,FACS,24,0,images/S045_002.png
S045_002,FACS,43,2,images/S045_002.png
S045_003,FACS,12,0,images/S045_003.png
S045_003,FACS,25,0,images/S045_003.png
S045_004,FACS,4,0,images/S045_004.png
S045_004,FACS,7,0,images/S045_004.png
S045_004,FACS,9,0,images/S045_004.png
S045_004,FACS,17,0,images/S045_004.png
S045_004,FACS,25,0,images/S045_004.png
S045_005,FACS,4,0,images/S045_005.png
S045_005,FACS,7,0,images/S045_005.png
S045_005,FACS,23,0,images/S045_005.png
S045_005,FACS,24,0,images/S045_005.png
S045_005,FACS,38,0,images/S045_005.png
S046_001,FACS,1,0,images/S046_001.png
S046_001,FACS,15,0,images/S046_001.png
S046_001,FACS,17,0,images/S046_001.png
S046_002,FACS,1,0,images/S046_002.png
S046_002,FACS,2,0,images/S046_002.png
S046_002,FACS,5,0,images/S046_002.png
S046_002,FACS,25,0,images/S046_002.png
S046_002,FACS,27,0,images/S046_002.png
S046_003,FACS,4,0,images/S046_003.png
S046_003,FACS,20,5,images/S046_003.png
S046_003,FACS,25,0,images/S046_003.png
S046_004,FACS,4,0,images/S046_004.png
S046_004,FACS,7,0,images/S046_004.png
S046_004,FACS,9,4,images/S046_004.png
S046_004,FACS,17,3,images/S046_004.png
S046_005,FACS,6,0,images/S046_005.png
S046_005,FACS,12,0,images/S046_005.png
S046_005,FACS,25,0,images/S046_005.png
S050_001,FACS,1,0,images/S050_001.png
S050_001,FACS,2,0,images/S050_001.png
S050_001,FACS,20,4,images/S050_001.png
S050_001,FACS,25,0,images/S050_001.png
S050_002,FACS,1,0,images/S050_002.png
S050_002,FACS,2,0,images/S050_002.png
S050_002,FACS,5,0,images/S050_002.png
S050_002,FACS,15,0,images/S050_002.png
S050_002,FACS,25,0,images/S050_002.png
S050_002,FACS,27,0,images/S050_002.png
S050_003,FACS,15,2,images/S050_003.png
S050_003,FACS,17,5,images/S050_003.png
S050_003,FACS,24,0,images/S050_003.png
S050_004,FACS,4,0,images/S050_004.png
S050_004,FACS,7,0,images/S050_004.png
S050_004,FACS,17,4,images/S050_004.png
S050_004,FACS,24,4,images/S050_004.png
S050_004,FACS,28,0,images/S050_004.png
S050_005,FACS,4,0,images/S050_005.png
S050_005,FACS,7,0,images/S050_005.png
S050_005,FACS,9,5,images/S050_005.png
S050_006,FACS,6,0,images/S050_006.png
S050_006,FACS,12,0,images/S050_006.png
S050_006,FACS,25,0,images/S050_006.png
S050_006,FACS,26,0,images/S050_006.png
S051_001,FACS,1,0,images/S051_001.png
S051_001,FACS,2,0,images/S051_001.png
S051_001,FACS,4,0,images/S051_001.png
S051_001,FACS,20,0,images/S051_001.png
S051_001,FACS,25,0,images/S051_001.png
S051_002,FACS,1,4,images/S051_002.png
S051_002,FACS,2,4,images/S051_002.png
S051_002,FACS,5,3,images/S051_002.png
S051_002,FACS,12,1,images/S051_002.png
S051_002,FACS,25,5,images/S051_002.png
S051_002,FACS,27,4,images/S051_002.png
S051_003,FACS,4,4,images/S051_003.png
S051_003,FACS,9,5,images/S051_003.png
S051_003,FACS,14,1,images/S051_003.png
S051_003,FACS,17,2,images/S051_003.png
S052_001,FACS,1,0,images/S052_001.png
S052_001,FACS,2,0,images/S052_001.png
S052_001,FACS,5,0,images/S052_001.png
S052_001,FACS,25,0,images/S052_001.png
S052_001,FACS,27,0,images/S052_001.png
S052_002,FACS,4,0,images/S052_002.png
S052_002,FACS,14,0,images/S052_002.png
S052_002,FACS,17,0,images/S052_002.png
S052_003,FACS,4,0,images/S052_003.png
S052_003,FACS,7,0,images/S052_003.png
S052_003,FACS,17,0,images/S052_003.png
S052_003,FACS,23,0,images/S052_003.png
S052_003,FACS,24,0,images/S052_003.png
S052_004,FACS,6,0,images/S052_004.png
S052_004,FACS,12,0,images/S052_004.png
S052_004,FACS,25,0,images/S052_004.png
S052_006,FACS,4,2,images/S052_006.png
S052_006,FACS,9,3,images/S052_006.png
S052_006,FACS,10,3,images/S052_006.png
S052_006,FACS,25,2,images/S052_006.png
S053_001,FACS,1,0,images/S053_001.png
S053_001,FACS,2,0,images/S053_001.png
S053_001,FACS,5,0,images/S053_001.png
S053_001,FACS,25,0,images/S053_001.png
S053_001,FACS,27,0,images/S053_001.png
S053_003,FACS,4,0,images/S053_003.png
S053_003,FACS,7,0,images/S053_003.png
S053_003,FACS,17,5,images/S053_003.png
S053_003,FACS,23,5,images/S053_003.png
S053_003,FACS,24,5,images/S053_003.png
S053_003,FACS,39,0,images/S053_003.png
S053_004,FACS,6,0,images/S053_004.png
S053_004,FACS,12,0,images/S053_004.png
S053_004,FACS,25,0,images/S053_004.png
S053_004,FACS,26,1,images/S053_004.png
S054_001,FACS,12,0,images/S054_001.png
S054_001,FACS,25,0,images/S054_001.png
S054_002,FACS,4,1,images/S054_002.png
S054_002,FACS,5,0,images/S054_002.png
S054_002,FACS,7,1,images/S054_002.png
S054_002,FACS,20,0,images/S054_002.png
S054_002,FACS,25,0,images/S054_002.png
S054_003,FACS,1,2,images/S054_003.png
S054_003,FACS,2,2,images/S054_003.png
S054_003,FACS,5,2,images/S054_003.png
S054_003,FACS,25,4,images/S054_003.png
S054_003,FACS,26,5,images/S054_003.png
S054_004,FACS,9,5,images/S054_004.png
S054_004,FACS,23,1,images/S054_004.png
S055_001,FACS,1,0,images/S055_001.png
S055_001,FACS,2,0,images/S055_001.png
S055_001,FACS,5,4,images/S055_001.png
S055_001,FACS,25,0,images/S055_001.png
S055_001,FACS,27,0,images/S055_001.png
S055_002,FACS,15,4,images/S055_002.png
S055_002,FACS,17,5,images/S055_002.png
S055_002,FACS,22,0,images/S055_002.png
S055_003,FACS,4,0,images/S055_003.png
S055_003,FACS,6,0,images/S055_003.png
S055_003,FACS,7,0,images/S055_003.png
S055_003,FACS,9,4,images/S055_003.png
S055_003,FACS,17,2,images/S055_003.png
S055_004,FACS,4,0,images/S055_004.png
S055_004,FACS,17,0,images/S055_004.png
S055_004,FACS,23,0,images/S055_004.png
S055_004,FACS,24,0,images/S055_004.png
S055_005,FACS,6,0,images/S055_005.png
S055_005,FACS,12,0,images/S055_005.png
S055_005,FACS,16,0,images/S055_005.png
S055_005,FACS,25,0,images/S055_005.png
S055_006,FACS,1,2,images/S055_006.png
S055_006,FACS,2,1,images/S055_006.png
S055_006,FACS,4,2,images/S055_006.png
S055_006,FACS,5,1,images/S055_006.png
S055_006,FACS,20,2,images/S055_006.png
S056_001,FACS,15,4,images/S056_001.png
S056_001,FACS,17,4,images/S056_001.png
S056_002,FACS,4,0,images/S056_002.png
S056_002,FACS,7,0,images/S056_002.png
S056_002,FACS,9,4,images/S056_002.png
S056_002,FACS,17,3,images/S056_002.png
S056_003,FACS,1,4,images/S056_003.png
S056_003,FACS,2,4,images/S056_003.png
S056_003,FACS,5,1,images/S056_003.png
S056_003,FACS,10,2,images/S056_003.png
S056_003,FACS,16,2,images/S056_003.png
S056_003,FACS,25,5,images/S056_003.png
S056_003,FACS,27,4,images/S056_003.png
S056_004,FACS,12,4,images/S056_004.png
S056_004,FACS,25,3,images/S056_004.png
S057_001,FACS,1,0,images/S057_001.png
S057_001,FACS,2,0,images/S057_001.png
S057_001,FACS,5,0,images/S057_001.png
S057_001,FACS,25,0,images/S057_001.png
S057_001,FACS,26,0,images/S057_001.png
S057_002,FACS,15,3,images/S057_002.png
S057_002,FACS,17,5,images/S057_002.png
S057_003,FACS,4,0,images/S057_003.png
S057_003,FACS,6,0,images/S057_003.png
S057_003,FACS,7,0,images/S057_003.png
S057_003,FACS,9,0,images/S057_003.png
S057_003,FACS,17,0,images/S057_003.png
S057_004,FACS,4,0,images/S057_004.png
S057_004,FACS,7,0,images/S057_004.png
S057_004,FACS,10,0,images/S057_004.png
S057_004,FACS,11,0,images/S057_004.png
S057_004,FACS,20,0,images/S057_004.png
S057_004,FACS,25,0,images/S057_004.png
S057_005,FACS,4,0,images/S057_005.png
S057_005,FACS,7,0,images/S057_005.png
S057_005,FACS,9,0,images/S057_005.png
S057_005,FACS,17,0,images/S057_005.png
S057_005,FACS,18,0,images/S057_005.png
S057_005,FACS,23,0,images/S057_005.png
S057_005,FACS,24,0,images/S057_005.png
S057_006,FACS,6,0,images/S057_006.png
S057_006,FACS,12,0,images/S057_006.png
S057_006,FACS,25,0,images/S057_006.png
S058_001,FACS,1,0,images/S058_001.png
S058_001,FACS,2,0,images/S058_001.png
S058_001,FACS,5,0,images/S058_001.png
S058_001,FACS,25,0,images/S058_001.png
S058_001,FACS,27,0,images/S058_001.png
S058_002,FACS,12,0,images/S058_002.png
S058_002,FACS,16,4,images/S058_002.png
S058_002,FACS,25,0,images/S058_002.png
S058_003,FACS,4,0,images/S058_003.png
S058_003,FACS,15,0,images/S058_003.png
S058_003,FACS,17,0,images/S058_003.png
S058_005,FACS,4,4,images/S058_005.png
S058_005,FACS,14,2,images/S058_005.png
S058_005,FACS,17,3,images/S058_005.png
S058_005,FACS,24,4,images/S058_005.png
S058_006,FACS,9,5,images/S058_006.png
S058_006,FACS,17,2,images/S058_006.png
S059_001,FACS,1,0,images/S059_001.png
S059_001,FACS,2,0,images/S059_001.png
S059_001,FACS,5,0,images/S059_001.png
S059_001,FACS,16,0,images/S059_001.png
S059_001,FACS,25,0,images/S059_001.png
S059_001,FACS,27,0,images/S059_001.png
S059_002,FACS,1,0,images/S059_002.png
S059_002,FACS,4,0,images/S059_002.png
S059_002,FACS,5,0,images/S059_002.png
S059_002,FACS,6,0,images/S059_002.png
S059_002,FACS,7,0,images/S059_002.png
S059_002,FACS,20,0,images/S059_002.png
S059_002,FACS,25,0,images/S059_002.png
S059_002,FACS,39,0,images/S059_002.png
S059_003,FACS,4,0,images/S059_003.png
S059_003,FACS,6,0,images/S059_003.png
S059_003,FACS,7,0,images/S059_003.png
S059_003,FACS,9,0,images/S059_003.png
S059_003,FACS,17,0,images/S059_003.png
S059_003,FACS,23,0,images/S059_003.png
S059_003,FACS,24,0,images/S059_003.png
S060_001,FACS,15,0,images/S060_001.png
S060_001,FACS,17,0,images/S060_001.png
S060_001,FACS,45,1,images/S060_001.png
S060_002,FACS,6,0,images/S060_002.png
S060_002,FACS,12,0,images/S060_002.png
S060_002,FACS,25,0,images/S060_002.png
S060_003,FACS,1,4,images/S060_003.png
S060_003,FACS,2,4,images/S060_003.png
S060_003,FACS,5,3,images/S060_003.png
S060_003,FACS,25,5,images/S060_003.png
S060_003,FACS,27,5,images/S060_003.png
S060_005,FACS,9,4,images/S060_005.png
S060_005,FACS,10,3,images/S060_005.png
S061_001,FACS,1,0,images/S061_001.png
S061_001,FACS,2,0,images/S061_001.png
S061_001,FACS,5,0,images/S061_001.png
S061_001,FACS,25,0,images/S061_001.png
S061_001,FACS,27,0,images/S061_001.png
S061_002,FACS,6,0,images/S061_002.png
S061_002,FACS,12,0,images/S061_002.png
S061_002,FACS,25,0,images/S061_002.png
S061_004,FACS,7,2,images/S061_004.png
S061_004,FACS,9,2,images/S061_004.png
S061_004,FACS,24,3,images/S061_004.png
S062_001,FACS,1,0,images/S062_001.png
S062_001,FACS,2,0,images/S062_001.png
S062_001,FACS,5,0,images/S062_001.png
S062_001,FACS,20,0,images/S062_001.png
S062_001,FACS,25,0,images/S062_001.png
S062_002,FACS,1,0,images/S062_002.png
S062_002,FACS,2,0,images/S062_002.png
S062_002,FACS,5,0,images/S062_002.png
S062_002,FACS,25,0,images/S062_002.png
S062_002,FACS,27,0,images/S062_002.png
S062_003,FACS,15,0,images/S062_003.png
S062_003,FACS,17,0,images/S062_003.png
S062_003,FACS,43,5,images/S062_003.png
S062_004,FACS,6,0,images/S062_004.png
S062_004,FACS,12,0,images/S062_004.png
S062_004,FACS,25,0,images/S062_004.png
S062_005,FACS,6,2,images/S062_005.png
S062_005,FACS,9,3,images/S062_005.png
S062_005,FACS,12,1,images/S062_005.png
S062_005,FACS,17,2,images/S062_005.png
S063_001,FACS,1,0,images/S063_001.png
S063_001,FACS,2,0,images/S063_001.png
S063_001,FACS,5,0,images/S063_001.png
S063_001,FACS,25,0,images/S063_001.png
S063_001,FACS,27,0,images/S063_001.png
S063_002,FACS,6,0,images/S063_002.png
S063_002,FACS,12,0,images/S063_002.png
S064_001,FACS,1,0,images/S064_001.png
S064_001,FACS,2,0,images/S064_001.png
S064_001,FACS,5,0,images/S064_001.png
S064_001,FACS,25,0,images/S064_001.png
S064_001,FACS,27,0,images/S064_001.png
S064_002,FACS,10,0,images/S064_002.png
S064_002,FACS,17,0,images/S064_002.png
S064_002,FACS,23,0,images/S064_002.png
S064_002,FACS,24,0,images/S064_002.png
S064_002,FACS,31,0,images/S064_002.png
S064_003,FACS,6,0,images/S064_003.png
S064_003,FACS,12,0,images/S064_003.png
S064_003,FACS,25,0,images/S064_003.png
S064_003,FACS,26,0,images/S064_003.png
S064_004,FACS,1,2,images/S064_004.png
S064_004,FACS,15,1,images/S064_004.png
S065_001,FACS,1,0,images/S065_001.png
S065_001,FACS,2,0,images/S065_001.png
S065_001,FACS,4,0,images/S065_001.png
S065_001,FACS,15,0,images/S065_001.png
S065_001,FACS,17,0,images/S065_001.png
S065_002,FACS,1,0,images/S065_002.png
S065_002,FACS,2,0,images/S065_002.png
S065_002,FACS,4,0,images/S065_002.png
S065_002,FACS,5,0,images/S065_002.png
S065_002,FACS,17,1,images/S065_002.png
S065_002,FACS,20,0,images/S065_002.png
S065_002,FACS,25,0,images/S065_002.png
S065_003,FACS,1,0,images/S065_003.png
S065_003,FACS,2,0,images/S065_003.png
S065_003,FACS,5,0,images/S065_003.png
S065_003,FACS,25,0,images/S065_003.png
S065_003,FACS,27,0,images/S065_003.png
S065_004,FACS,6,0,images/S065_004.png
S065_004,FACS,12,0,images/S065_004.png
S065_004,FACS,25,0,images/S065_004.png
S065_005,FACS,9,3,images/S065_005.png
S065_005,FACS,17,2,images/S065_005.png
S066_001,FACS,1,0,images/S066_001.png
S066_001,FACS,2,0,images/S066_001.png
S066_001,FACS,4,0,images/S066_001.png
S066_001,FACS,7,0,images/S066_001.png
S066_001,FACS,20,0,images/S066_001.png
S066_001,FACS,25,0,images/S066_001.png
S066_002,FACS,1,0,images/S066_002.png
S066_002,FACS,2,0,images/S066_002.png
S066_002,FACS,5,1,images/S066_002.png
S066_002,FACS,25,0,images/S066_002.png
S066_002,FACS,27,0,images/S066_002.png
S066_003,FACS,6,0,images/S066_003.png
S066_003,FACS,12,0,images/S066_003.png
S066_003,FACS,25,0,images/S066_003.png
